id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,date_account_created_year,date_account_created_month,date_account_created_day,timestamp_first_active_year,timestamp_first_active_month,timestamp_first_active_day,date_first_booking_year,date_first_booking_month,date_first_booking_day
a7j0yxss3q,MALE,43.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,2014,2,20,2014,2,20,2014.0,2.0,23.0
ru73r50j4u,FEMALE,26.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,2012,8,27,2012,8,27,-999.0,-999.0,-999.0
6k7l2ioap4,-unknown-,-999.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2013,6,12,2013,6,12,-999.0,-999.0,-999.0
jbyzcnh1gw,FEMALE,38.0,facebook,0,en,direct,direct,linked,Web,Android Tablet,IE,NDF,2013,3,26,2013,3,26,-999.0,-999.0,-999.0
i0ls1tdfvs,FEMALE,25.0,basic,0,en,other,meetup,tracked-other,Web,Mac Desktop,Chrome,US,2013,9,27,2013,9,27,2014.0,4.0,16.0
1m2l18uyhc,-unknown-,-999.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2013,3,23,2013,3,23,-999.0,-999.0,-999.0
rgnr6fkgd3,FEMALE,41.0,facebook,0,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,NDF,2013,2,27,2013,2,27,-999.0,-999.0,-999.0
3b1okctsey,-unknown-,26.0,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,2014,1,2,2014,1,2,2014.0,1.0,2.0
p7z5uykakn,FEMALE,31.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2013,10,29,2013,10,29,-999.0,-999.0,-999.0
9n3absica1,FEMALE,60.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,2012,7,3,2012,7,3,-999.0,-999.0,-999.0
0xjb3wpz3y,-unknown-,29.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2013,9,26,2013,9,26,-999.0,-999.0,-999.0
6aa100b971,MALE,34.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,NDF,2013,12,30,2013,12,30,-999.0,-999.0,-999.0
couky21ar7,FEMALE,78.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,IE,NDF,2012,10,30,2012,10,30,-999.0,-999.0,-999.0
xb7agntlx3,MALE,30.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF,2013,4,16,2013,4,16,-999.0,-999.0,-999.0
lvhfc8d79b,-unknown-,-999.0,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,2014,4,2,2014,4,2,2014.0,4.0,4.0
7fw9vmrmo0,-unknown-,-999.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2013,4,3,2013,4,3,-999.0,-999.0,-999.0
ajdj0rn8zj,-unknown-,-999.0,basic,0,en,seo,google,linked,Web,Mac Desktop,Chrome,NDF,2014,4,13,2014,4,13,-999.0,-999.0,-999.0
7pls4msqep,-unknown-,-999.0,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,NDF,2014,5,1,2014,5,1,-999.0,-999.0,-999.0
hkcdciipkp,-unknown-,51.0,basic,0,en,direct,direct,omg,Web,Windows Desktop,Firefox,US,2013,9,25,2013,9,25,2013.0,10.0,7.0
my7uimvnfv,-unknown-,-999.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2013,9,26,2013,9,26,-999.0,-999.0,-999.0
w9tlg63lqx,MALE,33.0,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,NDF,2012,12,8,2012,12,8,-999.0,-999.0,-999.0
x0iie55gls,-unknown-,-999.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF,2014,2,17,2014,2,17,-999.0,-999.0,-999.0
mz2z25pcc0,-unknown-,-999.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,NDF,2013,1,28,2013,1,28,-999.0,-999.0,-999.0
kxxzyempmg,MALE,50.0,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,NDF,2013,12,8,2013,12,8,-999.0,-999.0,-999.0
om748aa3k6,-unknown-,-999.0,basic,2,en,seo,google,linked,Web,Windows Desktop,IE,NDF,2011,9,25,2011,9,25,-999.0,-999.0,-999.0
