id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,date_account_created_year,date_account_created_month,date_account_created_day,timestamp_first_active_year,timestamp_first_active_month,timestamp_first_active_day,date_first_booking_year,date_first_booking_month,date_first_booking_day,sum_secs_elapsed,end_of_september,around_christmas,pre_summer,signin_on_different_day
jujt73mvau,0,-999.0,0,25,3,2,4,7,3,8,0,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,,0.0,0.0,1.0,0.0
njsmqa38qh,0,-999.0,0,0,6,5,8,3,2,3,43,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,2242816.0,0.0,0.0,1.0,0.0
1tifqt8jl8,0,54.0,0,0,6,6,8,0,2,3,17,10,2014,6,29,2014,6,29,2014.0,7.0,1.0,435079.0,0.0,0.0,1.0,0.0
4klrb5y8un,0,26.0,0,25,6,2,4,7,3,8,0,10,2014,6,26,2014,6,26,2014.0,7.0,14.0,507047.0,0.0,0.0,1.0,0.0
ckxtlj9by0,1,27.0,0,0,6,2,4,7,2,8,30,10,2014,6,26,2014,6,26,2014.0,7.0,1.0,2893435.0,0.0,0.0,1.0,0.0
ubr8ukiuhq,2,58.0,0,0,6,2,4,7,2,3,3,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,102199.0,0.0,0.0,1.0,0.0
bhcu9fsa5j,2,28.0,0,0,6,5,8,3,2,3,43,10,2014,6,29,2014,6,29,2014.0,11.0,9.0,5300609.0,0.0,0.0,1.0,0.0
qdjq7q0vm3,2,25.0,1,25,6,2,4,0,3,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,6051896.0,0.0,0.0,1.0,0.0
vhgcxb559b,0,-999.0,0,25,6,2,4,7,3,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,2571556.0,0.0,0.0,1.0,0.0
jna6fixj9t,2,27.0,1,25,6,2,4,0,3,8,30,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,193978.0,0.0,0.0,1.0,0.0
rpqv3bq6m3,0,34.0,0,0,6,2,4,7,2,6,22,10,2014,6,26,2014,6,26,2014.0,6.0,28.0,1352820.0,0.0,0.0,1.0,0.0
97qa4zr24i,0,-999.0,0,25,6,2,4,7,3,8,30,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,890918.0,0.0,0.0,1.0,0.0
fwh5kh8qnz,0,-999.0,0,0,6,2,4,7,2,7,30,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,153115.0,0.0,0.0,1.0,0.0
fdl3ewn0hg,1,33.0,0,0,16,2,4,7,2,6,22,10,2014,6,26,2014,6,26,2014.0,6.0,27.0,2532715.0,0.0,0.0,1.0,0.0
