,Criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,score
0,entropy,44,812,15,260,0.843408353145
1,entropy,3,4250,14,359,0.746589034715
2,entropy,29,2696,37,149,0.789006369062
3,gini,23,4774,34,617,0.733421256852
4,entropy,49,4703,23,301,0.733421256852
5,entropy,48,387,20,472,0.84788549601
6,entropy,45,3646,44,322,0.750247967998
7,gini,42,58,36,413,0.852248157879
8,entropy,6,519,39,707,0.84501466492
9,gini,25,4671,48,473,0.733421256852
10,gini,13,1901,16,410,0.807585862619
11,gini,26,4394,2,675,0.741396416822
12,entropy,3,3363,26,336,0.756163608635
13,gini,3,1469,49,685,0.823842919482
14,gini,36,1507,34,723,0.826011987716
15,gini,38,3170,19,555,0.75848604533
16,entropy,48,3900,35,739,0.750379426678
17,gini,12,4668,34,494,0.733421256852
18,gini,17,2859,42,444,0.770032499462
19,gini,14,3982,2,485,0.746479485814
20,entropy,22,1619,24,710,0.822484513113
21,gini,12,3094,23,356,0.762320256854
22,entropy,46,4718,30,667,0.733421256852
23,gini,7,4382,23,541,0.739293077929
24,gini,31,3841,48,628,0.749744043054
25,entropy,26,1485,3,497,0.825573792113
26,gini,34,4090,9,468,0.745449726147
27,entropy,3,676,18,583,0.999988401715
28,gini,25,1353,31,459,0.831730440332
29,entropy,29,876,10,748,0.837646080969
30,gini,24,3541,28,206,0.750773802721
31,entropy,35,1415,7,631,0.827392303864
32,gini,44,242,14,49,0.836396475036
33,gini,46,548,33,269,0.847356228942
34,entropy,43,1099,7,419,0.834359613948
35,gini,21,1330,3,438,0.830985507807
36,entropy,23,2586,2,664,0.783419375127
37,entropy,2,806,47,554,0.799544973309
38,gini,28,1281,12,510,0.832059087034
39,entropy,13,861,49,484,0.839486502501
40,entropy,10,231,22,342,0.849380471615
41,gini,15,2623,8,102,0.7950315586
42,gini,18,4356,27,217,0.748407546466
43,gini,47,4584,20,220,0.733421256852
44,entropy,40,4772,8,397,0.733421256852
45,gini,4,144,39,290,0.84631598936
46,entropy,6,1867,6,352,0.810762780739
47,gini,43,3573,35,216,0.750773802721
48,gini,36,4205,43,13,0.733421256852
49,entropy,14,1313,2,256,0.834841629111
50,gini,38,97,26,634,0.851607552028
51,gini,26,1410,24,525,0.795164937829
52,gini,2,348,35,105,0.805964538889
53,gini,22,1208,2,544,0.831927628353
54,gini,8,2106,6,147,0.811135247002
55,entropy,35,3210,47,204,0.762123068833
56,entropy,13,263,5,104,0.848787642025
57,gini,9,4887,23,626,0.733421256852
58,entropy,39,3916,20,241,0.754016450181
59,gini,23,4932,5,395,0.733421256852
60,entropy,43,1225,28,189,0.832760199998
61,gini,10,2325,33,688,0.798953409245
62,gini,22,160,16,212,0.850774375811
63,entropy,17,108,18,644,0.851309987924
64,entropy,21,2462,4,138,0.803795470655
65,gini,13,2613,15,604,0.781184577553
66,gini,23,4723,5,639,0.733421256852
67,gini,46,2117,11,145,0.812581292491
68,gini,40,1423,14,536,0.828925988474
69,entropy,44,3124,33,689,0.763897761024
70,entropy,25,3869,49,528,0.748517095367
71,entropy,7,2661,12,342,0.779037419099
72,gini,47,4642,18,43,0.733421256852
73,gini,5,1337,35,10,0.848381873237
74,gini,43,440,2,544,0.847619262916
75,gini,21,1203,40,478,0.832628741317
76,entropy,3,4325,37,110,0.756010240174
77,entropy,44,4769,48,37,0.733421256852
78,entropy,39,2093,37,247,0.815451473689
79,entropy,25,997,6,110,0.839114036238
80,entropy,38,2624,16,558,0.778555403936
81,gini,49,4045,8,57,0.754564194685
82,gini,34,1899,43,588,0.809623472172
83,entropy,12,237,26,589,0.849227486126
84,gini,11,4541,24,68,0.754323187103
85,entropy,38,2450,6,457,0.791635542679
86,gini,27,3751,19,649,0.736673415387
87,gini,32,3807,24,473,0.733063894493
88,gini,19,4821,2,653,0.733421256852
89,gini,2,3055,23,144,0.78701257907
90,entropy,44,1679,25,603,0.763642230795
91,entropy,37,1624,12,98,0.831160786048
92,gini,21,2372,5,76,0.819285685213
93,gini,11,354,24,255,0.848639075947
94,entropy,8,538,13,745,0.844773657338
95,gini,42,726,38,447,0.84408755633
96,entropy,48,1741,14,59,0.837602261409
97,entropy,34,2887,49,572,0.769462845179
98,gini,3,3305,48,544,0.756141698855
99,entropy,49,1508,35,56,0.84261960106
100,gini,16,4871,14,390,0.733421256852
101,entropy,5,1344,23,600,0.815904773196
102,entropy,25,2591,3,190,0.789159737523
